Timestamp_Local, NodeID, ax , ay  , az  , gx , gy , gz          , Timestamp_Node
Sensor1        , 3730  , 428, 2356, -131, -66, -48, 00:07:467000,
Sensor1        , 3713  , 415, 2326, -125, -69, -47, 00:07:573000,
Sensor1        , 3727  , 418, 2325, -131, -73, -48, 00:07:678000,
Sensor1        , 3709  , 446, 2359, -131, -70, -50, 00:07:783000,
Sensor1        , 3739  , 424, 2333, -130, -72, -42, 00:07:888000,
Sensor1        , 3728  , 414, 2365, -132, -70, -49, 00:07:992000,
Sensor1        , 3709  , 400, 2332, -132, -68, -49, 00:08:097000,
Sensor1        , 3710  , 437, 2322, -126, -74, -51, 00:08:202000,
Sensor1        , 3715  , 403, 2363, -132, -64, -44, 00:08:307000,
Sensor1        , 3715  , 394, 2350, -133, -67, -49, 00:08:412000,
Sensor1        , 3736  , 431, 2375, -135, -66, -52, 00:08:516000,
Sensor1        , 3734  , 400, 2318, -136, -65, -53, 00:08:621000,
Sensor1        , 3708  , 405, 2308, -133, -72, -49, 00:08:726000,
Sensor1        , 3729  , 418, 2351, -125, -75, -57, 00:08:831000,
Sensor1        , 3699  , 403, 2310, -129, -69, -47, 00:08:936000,
Sensor1        , 3722  , 419, 2306, -131, -71, -47, 00:09:040000,
Sensor1        , 3715  , 421, 2304, -129, -72, -52, 00:09:145000,
Sensor1        , 3711  , 438, 2344, -130, -79, -48, 00:09:250000,
Sensor1        , 3712  , 400, 2332, -127, -74, -52, 00:09:355000,
Sensor1        , 3713  , 417, 2330, -133, -63, -48, 00:09:460000,
Sensor1        , 3705  , 421, 2334, -127, -78, -47, 00:09:565000,
Sensor1        , 3755  , 414, 2303, -126, -65, -54, 00:09:669000,
Sensor1        , 3723  , 385, 2259, -129, -63, -56, 00:09:774000,
Sensor1        , 3700  , 435, 2371, -128, -76, -48, 00:09:879000,
Sensor1        , 3701  , 395, 2317, -131, -66, -53, 00:09:983000,
Sensor1        , 3705  , 445, 2366, -128, -66, -49, 00:10:088000,
Sensor1        , 3730  , 394, 2305, -130, -76, -49, 00:10:193000,
Sensor1        , 3708  , 418, 2310, -132, -74, -49, 00:10:297000,
Sensor1        , 3710  , 411, 2329, -130, -69, -46, 00:10:402000,
Sensor1        , 3716  , 408, 2330, -132, -70, -51, 00:10:507000,
Sensor1        , 3710  , 433, 2319, -129, -71, -41, 00:10:612000,
Sensor1        , 3699  , 405, 2341, -129, -71, -48, 00:10:717000,
Sensor1        , 3731  , 448, 2327, -134, -70, -51, 00:10:822000,
Sensor1        , 3691  , 398, 2389, -126, -71, -46, 00:10:926000,
Sensor1        , 3713  , 421, 2290, -128, -64, -44, 00:11:031000,
Sensor1        , 3722  , 392, 2344, -135, -71, -48, 00:11:136000,
Sensor1        , 3696  , 401, 2336, -130, -65, -48, 00:11:240000,
Sensor1        , 3739  , 383, 2342, -127, -78, -51, 00:11:345000,
Sensor1        , 3727  , 401, 2314, -136, -73, -44, 00:11:450000,
Sensor1        , 3746  , 409, 2300, -133, -69, -49, 00:11:555000,
Sensor1        , 3727  , 416, 2321, -133, -72, -49, 00:11:660000,
Sensor1        , 3690  , 441, 2322, -133, -70, -49, 00:11:765000,
Sensor1        , 3697  , 398, 2311, -133, -67, -53, 00:11:869000,
Sensor1        , 3721  , 430, 2337, -134, -67, -45, 00:11:974000,
Sensor1        , 3721  , 404, 2326, -136, -70, -44, 00:12:080000,
Sensor1        , 3698  , 409, 2342, -132, -78, -51, 00:12:184000,
Sensor1        , 3754  , 396, 2318, -128, -74, -49, 00:12:289000,
Sensor1        , 3719  , 437, 2324, -130, -64, -52, 00:12:394000,
Sensor1        , 3726  , 396, 2313, -137, -65, -50, 00:12:500000,
Sensor1        , 3726  , 432, 2372, -132, -76, -44, 00:12:604000,
Sensor1        , 3728  , 384, 2354, -127, -74, -50, 00:12:709000,
Sensor1        , 3732  , 428, 2326, -138, -72, -51, 00:12:814000,
Sensor1        , 3727  , 427, 2298, -134, -71, -49, 00:12:919000,
Sensor1        , 3702  , 405, 2333, -131, -76, -48, 00:13:024000,
Sensor1        , 3715  , 396, 2344, -134, -71, -54, 00:13:129000,
Sensor1        , 3670  , 429, 2316, -133, -71, -46, 00:13:233000,
Sensor1        , 3712  , 444, 2367, -134, -72, -51, 00:13:338000,
Sensor1        , 3681  , 421, 2346, -122, -63, -50, 00:13:443000,
Sensor1        , 3739  , 420, 2334, -129, -74, -46, 00:13:548000,
Sensor1        , 3724  , 415, 2302, -129, -68, -51, 00:13:653000,
Sensor1        , 3702  , 389, 2337, -140, -76, -51, 00:13:757000,
Sensor1        , 3743  , 446, 2321, -133, -71, -51, 00:13:862000,
Sensor1        , 3696  , 453, 2310, -134, -73, -45, 00:13:967000,
Sensor1        , 3721  , 419, 2347, -137, -62, -44, 00:14:072000,
Sensor1        , 3732  , 433, 2302, -133, -65, -48, 00:14:177000,
Sensor1        , 3719  , 418, 2343, -131, -71, -48, 00:14:282000,
Sensor1        , 3712  , 405, 2341, -128, -71, -51, 00:14:386000,
Sensor1        , 3721  , 409, 2305, -134, -62, -48, 00:14:491000,
Sensor1        , 3682  , 406, 2342, -124, -68, -52, 00:14:596000,
Sensor1        , 3713  , 404, 2330, -134, -73, -49, 00:14:701000,
Sensor1        , 3709  , 418, 2326, -133, -70, -48, 00:14:806000,
Sensor1        , 3715  , 419, 2321, -132, -68, -53, 00:14:911000,
Sensor1        , 3715  , 412, 2368, -132, -67, -53, 00:15:015000,
Sensor1        , 3714  , 419, 2296, -127, -64, -57, 00:15:120000,
Sensor1        , 3743  , 403, 2323, -134, -73, -42, 00:15:225000,
Sensor1        , 3712  , 415, 2333, -130, -67, -46, 00:15:330000,
Sensor1        , 3718  , 407, 2342, -130, -75, -49, 00:15:434000,
Sensor1        , 3710  , 412, 2296, -129, -64, -53, 00:15:539000,
Sensor1        , 3737  , 405, 2326, -132, -78, -49, 00:15:644000,
Sensor1        , 3750  , 418, 2313, -135, -69, -54, 00:15:749000,
Sensor1        , 3721  , 385, 2314, -128, -62, -48, 00:15:854000,
Sensor1        , 3694  , 422, 2343, -135, -67, -47, 00:15:959000,
Sensor1        , 3713  , 423, 2344, -133, -70, -49, 00:16:064000,
Sensor1        , 3712  , 418, 2371, -134, -77, -44, 00:16:168000,
Sensor1        , 3729  , 397, 2338, -130, -71, -52, 00:16:273000,
Sensor1        , 3700  , 420, 2329, -128, -69, -50, 00:16:378000,
Sensor1        , 3706  , 437, 2323, -134, -66, -49, 00:16:484000,
Sensor1        , 3710  , 381, 2299, -132, -71, -49, 00:16:589000,
Sensor1        , 3697  , 407, 2334, -136, -69, -53, 00:16:694000,
Sensor1        , 3714  , 392, 2299, -133, -70, -48, 00:16:799000,
Sensor1        , 3691  , 412, 2316, -128, -75, -54, 00:16:904000,
Sensor1        , 3731  , 415, 2326, -133, -65, -54, 00:17:008000,
Sensor1        , 3755  , 372, 2310, -130, -70, -54, 00:17:113000,
Sensor1        , 3748  , 400, 2332, -131, -68, -48, 00:17:218000,
Sensor1        , 3734  , 367, 2324, -131, -68, -49, 00:17:323000,
Sensor1        , 3713  , 412, 2294, -131, -77, -51, 00:17:428000,
Sensor1        , 3727  , 413, 2363, -132, -69, -52, 00:17:533000,
Sensor1        , 3714  , 408, 2317, -135, -72, -50, 00:17:638000,
Sensor1        , 3736  , 415, 2322, -128, -63, -49, 00:17:742000,
Sensor1        , 3729  , 400, 2380, -129, -77, -51, 00:17:847000,
Sensor1        , 3724  , 427, 2341, -135, -68, -57, 00:17:952000,
Sensor1        , 3710  , 414, 2314, -134, -65, -47, 00:18:057000,
Sensor1        , 3710  , 391, 2344, -129, -73, -47, 00:18:162000,
Sensor1        , 3720  , 381, 2353, -130, -67, -52, 00:18:267000,
Sensor1        , 3704  , 409, 2325, -135, -66, -49, 00:18:372000,
Sensor1        , 3721  , 409, 2318, -132, -74, -50, 00:18:477000,
Sensor1        , 3689  , 437, 2360, -129, -70, -54, 00:18:582000,
Sensor1        , 3709  , 416, 2308, -127, -67, -43, 00:18:686000,
Sensor1        , 3714  , 428, 2339, -130, -67, -51, 00:18:791000,
Sensor1        , 3731  , 414, 2365, -131, -72, -51, 00:18:896000,
Sensor1        , 3720  , 397, 2326, -127, -77, -47, 00:19:001000,
Sensor1        , 3711  , 411, 2374, -136, -63, -52, 00:19:106000,
Sensor1        , 3744  , 429, 2338, -132, -69, -48, 00:19:211000,
Sensor1        , 3725  , 388, 2358, -136, -74, -55, 00:19:315000,
Sensor1        , 3711  , 419, 2338, -134, -69, -52, 00:19:420000,
Sensor1        , 3724  , 433, 2362, -131, -71, -44, 00:19:525000,
Sensor1        , 3716  , 404, 2335, -134, -66, -46, 00:19:630000,
Sensor1        , 3745  , 388, 2295, -126, -61, -46, 00:19:734000,
Sensor1        , 3719  , 381, 2331, -129, -66, -51, 00:19:839000,
Sensor1        , 3703  , 433, 2342, -130, -69, -47, 00:19:944000,
Sensor1        , 3749  , 435, 2358, -135, -68, -48, 00:20:048000,
Sensor1        , 3725  , 427, 2325, -134, -74, -50, 00:20:153000,
